item,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
Elytra,OldManReidGaming,1,10,,,,,,,
Elytra,Axeman_76,,28,,,,,,,
Elytra,Cowman7,,24,,,,,,,
Elytra,vlueban,3,3,3,,,,,,
Elytra,Tallerfiber1,,30,,,,,,,
Shulker Box,OldManReidGaming,,15,,,,,,,
Shulker Box,Axeman_76,,12,,,,,,,
Shulker Box,Cowman7,,12,,,,,,,
Shulker Box,vlueban,,16,,,,,,,
Enchanted Golden Apple,OldManReidGaming,,24,,,,,,,
Enchanted Golden Apple,Axeman_76,,30,,,,,,,
Enchanted Golden Apple,Cowman7,,48,,,,,,,
Enchanted Golden Apple,vlueban,3,3,3,,,,,,
Totem of Undying,OldManReidGaming,,32,,,,,,,
Totem of Undying,Axeman_76,,15,,,,,,,
Totem of Undying,Cowman7,,16,,,,,,,
Totem of Undying,vlueban,1,,,,,,,,
Beacon,OldManReidGaming,,100,,,,,,,
Beacon,Axeman_76,,125,,,,,,,
Beacon,Cowman7,,128,,,,,,,
Beacon,vlueban,,130,,,,,,,
Beacon,Tallerfiber1,,127.67,,,,,,,
Wither Skull,OldManReidGaming,,33,8,,,,,,
Wither Skull,Axeman_76,,20,,,,,,,
Wither Skull,Cowman7,,21,,,,,,,
Name Tag,OldManReidGaming,,,2,,,,,,
Name Tag,Axeman_76,,1,4,,,,,,
Name Tag,Cowman7,,,4,,,,,,
Name Tag,Tallerfiber1,,,3,,,,,,
Trident,OldManReidGaming,,48,,,,,,,
Trident,Axeman_76,,30,,,,,,,
Trident,Cowman7,,25,,,,,,,
Trident,Tallerfiber1,,25,,,,,,,
Saddle,OldManReidGaming,,,,14,,,1,,
Saddle,Axeman_76,,,4,,,,,,
Saddle,Cowman7,,,,8,,,,,
Saddle,vlueban,,,5,,,,,,
Saddle,Tallerfiber1,,,,7,,,,,
Slime Ball,OldManReidGaming,,,,,1,,,,
Slime Ball,Axeman_76,,,,,0.8889,,,,
Slime Ball,Cowman7,,,,,1,,,,
Honey Bottle,OldManReidGaming,,,,,3,,,,
Honey Bottle,Axeman_76,,,,,2.5,,,,
Honey Bottle,Cowman7,,,,,1,,,,
Nether Quartz,OldManReidGaming,,,,0.25,,,,,
Nether Quartz,Axeman_76,,,,,0.5,,,,
Nether Quartz,Cowman7,,,,,1,,,,
Blaze Rod,OldManReidGaming,,,,,,,,,8
Blaze Rod,Axeman_76,,,,,2,,,,
Blaze Rod,Cowman7,,,,,,,,,4
Blaze Rod,vlueban,,,,,,,,,8
Obsidian,OldManReidGaming,,,1.5,,,,,,
Obsidian,Axeman_76,,0.020833,,,,,,,
Obsidian,Cowman7,,0.02135,,,,,,,
Obsidian,vlueban,,0.020833,,,,,,,
Sponge,OldManReidGaming,,10,,,,,,,
Sponge,Axeman_76,,3,,,,,,,
Sponge,Cowman7,,3,,,,,,,
Sponge,vlueban,,4,,,,,,,
Leather,OldManReidGaming,,,,,,,0.25,,
Leather,Axeman_76,,,,,,,0.25,,
Leather,Cowman7,,,,,,,0.25,,
Gunpowder,OldManReidGaming,,0.0078125,,,,,,,
Gunpowder,Axeman_76,,0.01015625,,,,,,,
Gunpowder,Cowman7,,0.015625,,,,,,,
Gunpowder,vlueban,,0.015625,,,,,,,
Dragon's Breath,Axeman_76,,0.15,,,,,,,
Dragon's Breath,Cowman7,,0.25,,,,,,,
Dragon's Breath,vlueban,,6,,,,,,,
Wither Rose,OldManReidGaming,,6,,1,,,,,
Wither Rose,Axeman_76,,3,,,,,,,
Wither Rose,Cowman7,,2.5,,,,,,,
Wither Rose,vlueban,,10,,,,,,,
Glowstone,OldManReidGaming,,,,6,,,,,
Glowstone,Axeman_76,,,,2,,,,,
Glowstone,Cowman7,,,,4,,,,,
Glowstone,vlueban,,,,2,,,,,
Goat Horn,OldManReidGaming,,12,,,,,,,
Goat Horn,Axeman_76,,38,,,,,,,
Goat Horn,Cowman7,,48,,,,,,,
Goat Horn,vlueban,,32,,,,,,,
Music Disc,OldManReidGaming,,6,,,,,,,
Music Disc,Axeman_76,,1,,,,,,,
Music Disc,vlueban,,1,,,,,,,
Ghast Tear,OldManReidGaming,,,8,,,,,,
Ghast Tear,Axeman_76,,,10,,,,,,
Ghast Tear,vlueban,,,10,,,,,,
Turtle Egg,OldManReidGaming,,,,20,,,,,
Turtle Egg,Axeman_76,,0.75,,,,,,,
Turtle Egg,vlueban,,0.8,,,,,,,
Dragon Head,OldManReidGaming,,2,,,,,,,
Dragon Head,Axeman_76,,3,,,,,,,
Dragon Head,vlueban,,15,,,,,,,
