username,nation,un_rep,description
WJPGaming,EOMR,FALSE,Will
Udlickthat,EOMR,FALSE,Kchan
pebblyboy,NOI,FALSE,Crusty Musty
ShadowBoogie15,NEL,FALSE,AJ (Nelson's cousin)
Beardofgimili,CDS,FALSE,Amogh
WTFNash,EOMR,FALSE,
Awesome_Hippy,EOMR,FALSE,Sheep Fucker
TheCowman7,NEL,FALSE,Nelson's Alt
Losefast21,EOMR,FALSE,Winslow
Axeman_76,NOI,TRUE,Isaac
MCMasterNathan,CDS,FALSE,Femboy Vampire
Cowman7,NEL,TRUE,Nelson
OldManReidGaming,EOMR,TRUE,Reid
Tallerfiber1,IOK,TRUE,Grum
Yahtta,CRP,TRUE,Evan
Triton1037,EOMR,FALSE,Dashy
YerLoss,BEL,TRUE,Yer
zVulgerz,BEL,FALSE,Yer's friend
LuluLikeThat,BEL,FALSE,Yer's friend
Danav215,CDS,TRUE,Dinav
vlueban,QC,TRUE,Quinn
HAZ6R,EOMR,FALSE,Zaher
pretzel_captcha,NOI,FALSE,Jesus
Kazeroni,BEL,FALSE,Yer's Friend
BingusIsSoCool,EOMR,FALSE,Deepak
TheArmchair,EOMR,FALSE,Ali
Fr0zenGh0ul,EOMR,FALSE,Furry Boy
Vullby,CDS,FALSE,Danny
ICQO,EOMR,FALSE,Souup
TeatedPuddle65,EOMR,FALSE,Jose
