name,territory,owner,main_builder,y_level_high_pt,y_level_ground,year_started,completed,x_coordinate,z_coordinate,historic_site,architectural_genius,mopq_award,architectural_style,size,materials,furnished
Residential Station Hub,Archiva,UN,"Axeman_76, Cowman7",73.5,63,2022,TRUE,31,-19,FALSE,FALSE,,,Medium-Small,Elite,TRUE
Jose's House,Archiva,UN,TeatedPuddle65,73,64,2019,TRUE,26,13,TRUE,FALSE,,,Modest,Basic,TRUE
Egg Shooter,Archiva,EOMR,OldManReidGaming,70,63,2019,TRUE,4,8,FALSE,FALSE,,OMR Primitive,Tiny,Basic,TRUE
Historic Japanese Apartment,Ardeshir Islands,IOK,Yahtta,70.4375,63,2019,TRUE,83,-4,FALSE,FALSE,,,Very Small,Basic,TRUE
Ardetraz,Ardeshir Islands,NOI,Axeman_76,69,63.5,2020,FALSE,50,-147,FALSE,FALSE,,,Modest,Premium,FALSE
North Lake Aternos Cactus Island,Ardeshir Islands,NOI,OldManReidGaming,66.9375,63,2019,TRUE,-69,-86,TRUE,FALSE,,,Tiny,Basic,FALSE
East Assman Stoning Canal,Axeman Park,NOI,Axeman_76,65,63,2023,TRUE,-427,-162,FALSE,FALSE,,,Modest,Premium,TRUE
Axeman Park Square,Axeman Park,NOI,Axeman_76,75,70,2023,TRUE,-355,-131,FALSE,FALSE,,,Medium-Large,Basic,FALSE
"Belizean Tree ""Farm""",Backabush Bluffs,BEL,Kazeroni,84,63,2024,TRUE,-1141,255,FALSE,FALSE,,Farms,Enormous,Basic,FALSE
Island Compound,Belizean Water Waterway,BEL,YerLoss,75.5,63,2023,TRUE,-1028,223,FALSE,FALSE,,,Medium,Basic,FALSE
Belizean Iron Farm,Belizean Water Waterway,BEL,zVulgerz,114.5,77,2023,TRUE,-1005,133,FALSE,FALSE,,Farms,Large,Premium,FALSE
Beizian Cactus Farm,Belizean Water Waterway,BEL,Kazeroni,76.5,63,2024,TRUE,-1039,288,FALSE,FALSE,,,Medium,Basic,FALSE
Big Hole Stone Sorter,Belizean Water Waterway,BEL,YerLoss,31.5,-6,2024,TRUE,-1064,108,FALSE,FALSE,,,Medium-Small,Elite,FALSE
NOI Ski Resort,Big Guy Slopes,NOI,Axeman_76,122.5,72,2022,TRUE,-181,390,FALSE,FALSE,,Specialty,Large,Elite,TRUE
Large Pillar Building (TBD Name),Big Guy Slopes,NOI,Axeman_76,111.5,80,2022,FALSE,-91,438,FALSE,FALSE,,,Huge,Premium,FALSE
Cozy Cabin,Big Guy Slopes,NOI,Axeman_76,122,107,2023,TRUE,-141,537,FALSE,FALSE,,,Medium-Small,Premium,TRUE
Mountainside Building,Big Guy Slopes,NOI,Axeman_76,,,2024,FALSE,-140,360,FALSE,FALSE,,,Tiny,Basic,FALSE
Gardian Farm,Big Ocean Outlands,UN,Cowman7,63,19,2022,TRUE,-1936,239,FALSE,FALSE,,Farms,Enormous,Elite,TRUE
Stronghold Lounge,Big Ocean Outlands,UN,Vlueban,69.5,63,,TRUE,-2075,1083,FALSE,FALSE,,,Medium-Small,Premium,TRUE
Amythist Farm,Big Ocean Outlands,UN,Cowman7,67,62,2021,TRUE,-1724,80,FALSE,FALSE,,Farms,Medium,Basic,FALSE
Gardian Farm AFK Platform,Big Ocean Outlands,UN,Cowman7,152.5,149,2022,TRUE,-1936,239,FALSE,FALSE,,,Tiny,Elite,FALSE
Fucking Big Ass Creeper Farm,Big Ocean Outlands,BEL,zVulgerz,159,99,2023,TRUE,-2552,382,FALSE,FALSE,,Farms,Medium-Large,Standard,FALSE
Ocean Mob Grinder,Big Ocean Outlands,BEL,Kazeroni,197,127,,TRUE,-1807,-112,FALSE,FALSE,,,Medium-Large,Standard,FALSE
Dashie Arcology,"Bozeman, Montana",EOMR,Triton1037,186.5,126,2022,TRUE,96,443,FALSE,FALSE,Nominated,,Medium,Standard,TRUE
Bozeman Villager Breeder,"Bozeman, Montana",EOMR,Axeman_76,130,116,2021,TRUE,136,412,FALSE,FALSE,,,Medium-Small,Standard,TRUE
Yer Mountainside Building,"Bozeman, Montana",EOMR,YerLoss,89,75,2022,FALSE,100,585,FALSE,FALSE,,,,,
OMR Mining Company HQ,"Bozeman, Montana",EOMR,OldManReidGaming,109,102,2020,TRUE,140,378,FALSE,FALSE,,,,,
OMR Lumber Co - Bozeman Office,"Bozeman, Montana",EOMR,OldManReidGaming,115,108,2020,TRUE,47,467,FALSE,FALSE,,OMR Primitive,,,
OMR Furnace Mining Office,"Bozeman, Montana",EOMR,OldManReidGaming,85,78,2022,FALSE,-41,523,FALSE,FALSE,,,,,
Dashy Station,"Bozeman, Montana",UN,Axeman_76,76.5,72,2023,TRUE,84,426,FALSE,FALSE,,,,,
