building,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
Egg Shooter,OldManReidGaming,,8,,,,,,,
Egg Shooter,Axeman_76,,6,,,,,,,
Egg Shooter,Cowman7,,,12,,,,,,
Egg Shooter,vlueban,,,7,,,,,,
Egg Shooter,Tallerfiber1,,7,,,,,,,
Residential Station Hub,OldManReidGaming,,90,,,,,,,
Residential Station Hub,Axeman_76,,75,,,,,,,
Residential Station Hub,Cowman7,,76,,,,,,,
Residential Station Hub,vlueban,,80,,1,,,,,
Residential Station Hub,Tallerfiber1,,100,,,,,,,
Jose's House,OldManReidGaming,,40,,,,,,,
Jose's House,Axeman_76,,32,,,,,,,
Jose's House,Cowman7,,40,,,,,,,
Jose's House,vlueban,,40,,,,,,,
Jose's House,Tallerfiber1,,40,,,,,,,
Ardetraz,OldManReidGaming,,30,,,,,,,
Ardetraz,Axeman_76,,15,,,,,,,
Ardetraz,Cowman7,,1.0,,,,,,,
Ardetraz,vlueban,,0.5,,,,,,,
Ardetraz,Tallerfiber1,,10,,,,,,,
Historic Japanese Apartment,OldManReidGaming,,12,,,,,,,
Historic Japanese Apartment,Axeman_76,,19,,,,,,,
Historic Japanese Apartment,Cowman7,,16,,,,,,,
Historic Japanese Apartment,Tallerfiber1,,40,,,,,,,
North Lake Aternos Cactus Island,OldManReidGaming,,,60,,,,,,
North Lake Aternos Cactus Island,Axeman_76,,3,,,,,,,
North Lake Aternos Cactus Island,Cowman7,,3,,,,,,,
North Lake Aternos Cactus Island,vlueban,,5,,,,,,,
North Lake Aternos Cactus Island,Tallerfiber1,,1,,,,,,,
Rat Hole,OldManReidGaming,,5,,,,,,,
Rat Hole,Axeman_76,,2,,,,,,,
Rat Hole,Cowman7,,2,,,,,,,
Rat Hole,vlueban,,2,,,,,,,
Rat Hole,Tallerfiber1,,2,,,,,,,
Floating Area,Decoy,,,,,,,,,
Floating Area,OldManReidGaming,,,,,,,10000,,
Floating Area,Axeman_76,,2,,,,,,,
Floating Area,Cowman7,,4,,,,,,,
Floating Area,vlueban,,3,,,,,,,
Floating Area,Tallerfiber1,,4,,,,,,,
Yer Storage,Decoy,,,,,,,,,
Yer Storage,OldManReidGaming,,1.25,,,,,,,
Yer Storage,Axeman_76,,1,,,,,,,
Yer Storage,Cowman7,,0.333,,,,,,,
Yer Storage,vlueban,,0.5,,,,,,,
Yer Storage,Tallerfiber1,,1,,,,,,,
NOI Ski Resort,Decoy,,,,,,,,,
NOI Ski Resort,OldManReidGaming,,40,,,,,,,
NOI Ski Resort,Axeman_76,,30,,,,,,,
NOI Ski Resort,Cowman7,,10,,,,,,,
NOI Ski Resort,vlueban,,15,,,,,,,
NOI Ski Resort,Tallerfiber1,,20,,,,,,,
Large Pillar Building (TBD Name),Decoy,,,,,,,,,
Large Pillar Building (TBD Name),OldManReidGaming,,70,,,,,,,
Large Pillar Building (TBD Name),Axeman_76,,45,,,,,,,
Large Pillar Building (TBD Name),Cowman7,,30,,,,,,,
Large Pillar Building (TBD Name),vlueban,,20,,,,,,,
Large Pillar Building (TBD Name),Tallerfiber1,,25,,,,,,,
OMR Mining Company West Bozeman,Decoy,,,,,,,,,
OMR Mining Company West Bozeman,OldManReidGaming,,,4,,,,,,
OMR Mining Company West Bozeman,Axeman_76,,,1,,,,,,
OMR Mining Company West Bozeman,Cowman7,,,,,2,,,,
OMR Mining Company West Bozeman,vlueban,,,,,1,,,,
OMR Mining Company West Bozeman,Tallerfiber1,,,4,,,,,,
Mining Slaves Quarters,Decoy,,,,,,,,,
Mining Slaves Quarters,OldManReidGaming,,,6,,,,,,
Mining Slaves Quarters,Axeman_76,,,,,,,,,10
Mining Slaves Quarters,Cowman7,,,,1,,,,,
Mining Slaves Quarters,vlueban,,,,,,,,,0.5
Mining Slaves Quarters,Tallerfiber1,,,,,,,,,1
OMR Mining Company HQ,Decoy,,,,,,,,,
OMR Mining Company HQ,OldManReidGaming,,4,,,,,,,
OMR Mining Company HQ,Axeman_76,,3,,,,,,,
OMR Mining Company HQ,Cowman7,,0.074,,,,,,,
OMR Mining Company HQ,vlueban,,,3,,,,,,
OMR Mining Company HQ,Tallerfiber1,,3,,,,,,,
OMR Lumber Co - Bozeman Office,Decoy,,,,,,,,,
OMR Lumber Co - Bozeman Office,OldManReidGaming,,,1.5,3,,,,,
OMR Lumber Co - Bozeman Office,Axeman_76,,,1,,,,,,
OMR Lumber Co - Bozeman Office,Cowman7,,,1,,,,,,
OMR Lumber Co - Bozeman Office,vlueban,,,,,,,,,1
OMR Lumber Co - Bozeman Office,Tallerfiber1,,,,,,,,,2
Bozeman Villager Breeder,Decoy,,,,,,,,,
Bozeman Villager Breeder,OldManReidGaming,,13,,,,,,,
Bozeman Villager Breeder,Axeman_76,,7,,,,,,,
Bozeman Villager Breeder,Decoy,,,,,,,,,
Bozeman Villager Breeder,Decoy,,,,,,,,,
Bozeman Villager Breeder,Decoy,,,,,,,,,
Amogh's House,Decoy,,,,,,,,,
Amogh's House,OldManReidGaming,,,3,,,,,,
Amogh's House,Axeman_76,,,6,,,,,,
Amogh's House,Decoy,,,,,,,,,
Amogh's House,Decoy,,,,,,,,,
Amogh's House,Decoy,,,,,,,,,
Private Smokes,Decoy,,,,,,,,,
Private Smokes,OldManReidGaming,,12,,,,,,,
Private Smokes,Axeman_76,,10,,,,,,,
Private Smokes,Decoy,,,,,,,,,
Private Smokes,Decoy,,,,,,,,,
Private Smokes,Decoy,,,,,,,,,
Cloak and Dagger Society,Decoy,,,,,,,,,
Cloak and Dagger Society,OldManReidGaming,,15,,,,,,,
Cloak and Dagger Society,Axeman_76,,10,,,,,,,
Cloak and Dagger Society,Decoy,,,,,,,,,
Cloak and Dagger Society,Decoy,,,,,,,,,
Cloak and Dagger Society,Decoy,,,,,,,,,
Getaway Chopper Osprey-007,Decoy,,,,,,,,,
Getaway Chopper Osprey-007,OldManReidGaming,,10,,,,,,,
Getaway Chopper Osprey-007,Axeman_76,,6,,,,,,,
Getaway Chopper Osprey-007,Decoy,,,,,,,,,
Getaway Chopper Osprey-007,Decoy,,,,,,,,,
Getaway Chopper Osprey-007,Decoy,,,,,,,,,
CDS Castle,Decoy,,,,,,,,,
CDS Castle,OldManReidGaming,,,12,,,,,,
CDS Castle,Axeman_76,,4,,,,,,,
CDS Castle,Decoy,,,,,,,,,
CDS Castle,Decoy,,,,,,,,,
CDS Castle,Decoy,,,,,,,,,
Danny's House,Decoy,,,,,,,,,
Danny's House,OldManReidGaming,,3,,,,,,,
Danny's House,Axeman_76,,4.5,,,,,,,
Danny's House,Decoy,,,,,,,,,
Danny's House,Decoy,,,,,,,,,
Danny's House,Decoy,,,,,,,,,
Mafia Outpost #1,Decoy,,,,,,,,,
Mafia Outpost #1,OldManReidGaming,,20,,,,,,,
Mafia Outpost #1,Axeman_76,,12,,,,,,,
Mafia Outpost #1,Decoy,,,,,,,,,
Mafia Outpost #1,Decoy,,,,,,,,,
Mafia Outpost #1,Decoy,,,,,,,,,
JWO2 City,Decoy,,,,,,,,,
JWO2 City,OldManReidGaming,,64,,,,,,,
JWO2 City,Axeman_76,,58,,,,,,,
JWO2 City,Decoy,,,,,,,,,
JWO2 City,Decoy,,,,,,,,,
JWO2 City,Decoy,,,,,,,,,
CDS Hotel,Decoy,,,,,,,,,
CDS Hotel,OldManReidGaming,,32,,,,,,,
CDS Hotel,Axeman_76,,40,,,,,,,
CDS Hotel,Cowman7,,30,,,,,,,
CDS Hotel,Decoy,,,,,,,,,
CDS Hotel,Decoy,,,,,,,,,
On-Campus Gambling House,Decoy,,,,,,,,,
On-Campus Gambling House,OldManReidGaming,,,15,,,,,,
On-Campus Gambling House,Axeman_76,,,6,,,,,,
On-Campus Gambling House,Cowman7,,,3,,,,,,
On-Campus Gambling House,Decoy,,,,,,,,,
On-Campus Gambling House,Tallerfiber1,,,3,,,,,,
Boen Maloen Monument,Decoy,,,,,,,,,
Glass Cross Residence Hall,OldManReidGaming,,3,,,,,,,
Glass Cross Residence Hall,Axeman_76,,1,,,,,,,
Glass Cross Residence Hall,Cowman7,,,20,,,,,,
Glass Cross Residence Hall,Decoy,,,,,,,,,
Glass Cross Residence Hall,Tallerfiber1,,2,,,,,,,
Grum & Pern Field Station,Decoy,,,,,,,,,
Grum & Pern Field Station,OldManReidGaming,,,3,3,3,,,,
Grum & Pern Field Station,Axeman_76,,,4,,,,,,
Grum & Pern Field Station,Cowman7,,,1,,,,,,
Grum & Pern Field Station,Decoy,,,,,,,,,
Grum & Pern Field Station,Decoy,,,,,,,,,
College Station Hub,Decoy,,,,,,,,,
College Station Hub,OldManReidGaming,,46,,,,,,,
College Station Hub,Axeman_76,,50,,,,,,,
College Station Hub,Cowman7,,35,,,,,,,
College Station Hub,Decoy,,,,,,,,,
College Station Hub,Decoy,,,,,,,,,
Isaac Hall,Decoy,,,,,,,,,
Isaac Hall,OldManReidGaming,,40,,,,,,,
Isaac Hall,Axeman_76,,30,,,,,,,
Isaac Hall,Cowman7,,28,,1,1088,,64,192,5
Isaac Hall,Decoy,,,,,,,,,
Isaac Hall,Tallerfiber1,,27,16,,64,,,,
Knoo Castle,Decoy,,,,,,,,,
Knoo Castle,OldManReidGaming,,42,,,,,,,
Knoo Castle,Axeman_76,,52,,,,,,,
Knoo Castle,Cowman7,,48,,,,,,,
Knoo Castle,Decoy,,,,,,,,,
Knoo Castle,Tallerfiber1,,50,,,,,,,
OMR College School of Engineering,Decoy,,,,,,,,,
OMR College School of Engineering,OldManReidGaming,10,,,,,,,,
OMR College School of Engineering,Axeman_76,,23,,,,,,,
OMR College School of Engineering,Cowman7,,39,,,,,,,
OMR College School of Engineering,Decoy,,,,,,,,,
OMR College School of Engineering,Tallerfiber1,,33,,,,,,,
#SJW Hall,Decoy,,,,,,,,,
#SJW Hall,OldManReidGaming,,8,,,,,,,
#SJW Hall,Axeman_76,,5,,,,,,,
#SJW Hall,Cowman7,,4,,,,,,,
#SJW Hall,Decoy,,,,,,,,,
#SJW Hall,Tallerfiber1,,4,,,,,,,
Grum & Pern Gaylard Field,Decoy,,,,,,,,,
Grum & Pern Gaylard Field,OldManReidGaming,,100.000,,,,,,,
Grum & Pern Gaylard Field,Axeman_76,,65.000,,,,,,,
Grum & Pern Gaylard Field,Cowman7,,75.000,,,,,,,
Grum & Pern Gaylard Field,Decoy,,,,,,,,,
Grum & Pern Gaylard Field,Tallerfiber1,,65.000,,,,,,,
The Log,Decoy,,,,,,,,,
The Log,OldManReidGaming,,,,,30,,,,
The Log,Axeman_76,,,2,,,,,,
The Log,Cowman7,,,1.5,,,,,,
The Log,Decoy,,,,,,,,,
