name,price_type,description,ordering
Beacon,Market Rate,,101
Nether Star,Fixed Price,,102
Heavy Core,Market Rate,,103
Elytra,Market Rate,,104
Shulker Box,Market Rate,,105
Totem of Undying,Market Rate,,106
Name Tag,Market Rate,,107
Saddle,Market Rate,,108
Music Disc,Market Rate,,109
Smithing Template,Fixed Price,,110
Sherd,Market Rate,Counts sherds made into pots too,111
Netherite Scrap,Fixed Price,,112
Goat Horn,Market Rate,,113
--- Section Divider 1 ---,Section Divider,,114
Blaze Rod,Market Rate,,115
Breeze Rod,Market Rate,,116
Magma Cream,Fixed Price,,117
Ghast Tear,Market Rate,,118
Slime Ball,Market Rate,,119
Honey Bottle,Market Rate,,120
Honey Comb,Market Rate,,121
Resin Clump,Market Rate,,122
Leather,Market Rate,,123
Sponge,Market Rate,,124
Amethyst Shard,Market Rate,,125
Nether Quartz,Market Rate,,126
--- Section Divider 2 ---,Section Divider,,127
Glowstone,Market Rate,,128
Sea Lantern,Market Rate,,129
Quartz Block,Fixed Price,,130
Obsidian,Market Rate,,131
Glass,Fixed Price,,132
Glass Pane,Fixed Price,,133
Bricks,Fixed Price,Clay or nether bricks,134
Brick Block,Fixed Price,Brick brick block or nether brick block,135
Resin Brick,Fixed Price,,136
Resin Brick Block,Fixed Price,,137
Crack,Fixed Price,Any cracked block that needs to be smelted (ie cracked stone bricks),138
Smooth Stones,Fixed Price,"Any Smooth block that needs to be smelted (ie smooth stone, smooth sandstone)",139
--- Section Divider 3 ---,Section Divider,,140
Book,Fixed Price,,141
Bookshelf,Fixed Price,,142
Enchanted Book,Fixed Price,The average price of an enchanted book from a villager,143
Netherite Helmet,Fixed Price,,201
Netherite Chestplate,Fixed Price,,202
Netherite Leggings,Fixed Price,,203
Netherite Boots,Fixed Price,,204
Diamond Helmet,Fixed Price,,205
Diamond Chestplate,Fixed Price,,206
Diamond Leggings,Fixed Price,,207
Diamond Boots,Fixed Price,,208
Gold Helmet,Fixed Price,,209
Gold Chestplate,Fixed Price,,210
Gold Leggings,Fixed Price,,211
Gold Boots,Fixed Price,,212
Chainmail Helmet,Fixed Price,,213
Chainmail Chestplate,Fixed Price,,214
Chainmail Leggings,Fixed Price,,215
Chainmail Boots,Fixed Price,,216
Iron Helmet,Fixed Price,,217
Iron Chestplate,Fixed Price,,218
Iron Leggings,Fixed Price,,219
Iron Boots,Fixed Price,,220
Leather Helmet,Fixed Price,,221
Leather Chestplate,Fixed Price,,222
Leather Leggings,Fixed Price,,223
Leather Boots,Fixed Price,,224
--- Section Divider 4 ---,Section Divider,,225
--- Section Divider 4.5 ---,Section Divider,,226
Diamond Horse Armor,Fixed Price,,227
Gold Horse Armor,Fixed Price,,228
Iron Horse Armor,Fixed Price,,229
Leather Horse Armor,Fixed Price,,230
Wolf Armor,Fixed Price,,231
--- Section Divider 5 ---,Section Divider,,232
--- Section Divider 6 ---,Section Divider,,233
Bucket,Fixed Price,,234
Lead,Fixed Price,,235
Glass Bottle,Fixed Price,,236
--- Section Divider 7 ---,Section Divider,,237
--- Section Divider 8 ---,Section Divider,,238
--- Section Divider 9 ---,Section Divider,,239
Enchanted Golden Apple,Market Rate,,240
Golden Apple,Fixed Price,,241
Golden Carrot,Fixed Price,,242
Cooked Food,Fixed Price,,243
Netherite Sword,Fixed Price,,301
Netherite Pickaxe,Fixed Price,,302
Netherite Axe,Fixed Price,,303
Netherite Shovel,Fixed Price,,304
