piglin_banner_pattern, uncommon
creeper_banner_pattern, uncommon
enchanted_book, uncommon
sniffer_egg, uncommon
chainmail_helmet, uncommon
chainmail_chestplate, uncommon
chainmail_leggings, uncommon
chainmail_boots, uncommon
recovery_compass, uncommon
disc_fragment_5, uncommon
nautilus_shell, uncommon
echo_shard, uncommon
goat_horn, uncommon
ominous_bottle, uncommon
netherite_upgrade_smithing_template, uncommon
*_armor_trim_smithing_template, uncommon
music_disc_*, uncommon
totem_of_undying, uncommon
experience_bottle, uncommon
conduit, uncommon
heart_of_the_sea, uncommon
dragon_breath, uncommon
player_head, uncommon
zombie_head, uncommon
creeper_head, uncommon
skeleton_skull, uncommon
piglin_head, uncommon
flow_banner_pattern, rare
guster_banner_pattern, rare
enchanted_golden_apple, rare
trident, rare
nether_star, rare
ward_armor_trim_smithing_template, rare
eye_armor_trim_smithing_template, rare
vex_armor_trim_smithing_template, rare
spire_armor_trim_smithing_template, rare
wither_skeleton_skull, rare
skull_banner_pattern, rare
mojang_banner_pattern, rare
music_disc_pigstep, rare
music_disc_otherside, rare
music_disc_creator, rare
beacon, rare
elytra, epic
dragon_head, epic
dragon_egg, epic
silence_armor_trim_smithing_template, epic
heavy_core, epic
mace, epic
